Jenjang;fakultas/sekolah;prodi;nama_mk;semester;deskripsi_mk;sumber_deskripsi;status_kepmen;kriteria_kepmen_match;keyword_match
S2;FMIPA;Magister Ilmu Komputer;Kriptologi;-;Mempelajari kriptologi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Ilmu Komputer;Pengolahan dan Analisis Citra Digital;-;Mempelajari pengolahan dan analisis citra digital.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Ilmu Komputer;Riset Operasi;-;Mempelajari riset operasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Ilmu Komputer;Verifikasi dan Validasi;-;Mempelajari verifikasi dan validasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Ilmu Komputer;Sistem Komputer untuk Industri;-;Mempelajari sistem komputer untuk industri.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Ilmu Komputer;Pemrograman Robotika;-;Mempelajari pemrograman robotika.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Ilmu Komputer;Sistem Kendali Modern;-;Mempelajari sistem kendali modern.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Ilmu Komputer;Sintesis Rancangan Sistem Elektronika;-;Mempelajari sintesis rancangan sistem elektronika.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Ilmu Komputer;Sinyal dan Sistem;-;Mempelajari sinyal dan sistem.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Ilmu Komputer;Prinsip Kecerdasan Artifisial;-;Mempelajari prinsip kecerdasan buatan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Ilmu Komputer;Rekayasa Fitur dan Pengenalan Pola;-;Mempelajari rekayasa fitur dan pengenalan pola.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Ilmu Komputer;Platform dan Arsitektur Big Data;-;Mempelajari platform dan arsitektur big data.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Ilmu Komputer;Publikasi Jurnal Internasional;-;Penulisan dan penyiapan naskah artikel ilmiah dari hasil penelitian hingga pengiriman ke jurnal/konferensi, termasuk etika publikasi.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FMIPA;Magister Ilmu Komputer;Publikasi Jurnal Nasional Terakreditasi;-;Penulisan dan penyiapan naskah artikel ilmiah dari hasil penelitian hingga pengiriman ke jurnal/konferensi, termasuk etika publikasi.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FMIPA;Magister Ilmu Komputer;Publikasi Prosiding Seminar Internasional;-;Penulisan dan penyiapan naskah artikel ilmiah dari hasil penelitian hingga pengiriman ke jurnal/konferensi, termasuk etika publikasi.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FMIPA;Magister Ilmu Komputer;Publikasi Prosiding Seminar Nasional;-;Penulisan dan penyiapan naskah artikel ilmiah dari hasil penelitian hingga pengiriman ke jurnal/konferensi, termasuk etika publikasi.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FMIPA;Magister Kecerdasan Artifisial;Mata Kuliah Wajib Teori 1(Metodologi Riset Kecerdasan Artifisial);Semester 1;MK wajib teori.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Mata Kuliah Wajib Teori 2 (Prinsip Kecerdasan Artifisial);Semester 1;MK wajib teori.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Mata Kuliah Wajib Teori 3 (Pembelajaran Mesin dan Aplikasinya);Semester 1;MK wajib teori.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Proposal Tesis;Semester 2;Penyusunan usulan penelitian: perumusan masalah, tinjauan pustaka, kerangka teori, metode, dan rencana kerja penelitian.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FMIPA;Magister Kecerdasan Artifisial;Seminar Tesis;Semester 3;Penyajian dan diskusi ilmiah atas proposal atau hasil penelitian mahasiswa untuk melatih kemampuan presentasi, argumentasi, dan penerimaan masukan akademik.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FMIPA;Magister Kecerdasan Artifisial;Tesis;Semester 3;Penyusunan, pelaksanaan, dan pertanggungjawaban penelitian mandiri tingkat magister di bawah bimbingan dosen, diakhiri penulisan dan ujian tesis. Keterkaitan dengan kriteria Kepmen bergantung pada topik tesis tiap mahasiswa.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FMIPA;Magister Kecerdasan Artifisial;Seminar Hasil Riset Tahap I;Semester 2;Penyajian dan diskusi ilmiah atas proposal atau hasil penelitian mahasiswa untuk melatih kemampuan presentasi, argumentasi, dan penerimaan masukan akademik.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FMIPA;Magister Kecerdasan Artifisial;Laporan Kemajuan Riset;Semester 2;Laporan kemajuan riset.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Publikasi;Semester 2;Penulisan dan penyiapan naskah artikel ilmiah dari hasil penelitian hingga pengiriman ke jurnal/konferensi, termasuk etika publikasi.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FMIPA;Magister Kecerdasan Artifisial;Seminar Hasil Riset Tahap II;Semester 3;Penyajian dan diskusi ilmiah atas proposal atau hasil penelitian mahasiswa untuk melatih kemampuan presentasi, argumentasi, dan penerimaan masukan akademik.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FMIPA;Magister Kecerdasan Artifisial;Laporan Tesis;Semester 3;Penyusunan laporan tesis.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Logika Fuzzy Lanjut;-;Mempelajari logika fuzzy lanjut.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Pengenalan dan Analisis Pola;-;Mempelajari pengenalan dan analisis pola.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Sains dan Analisis Data;-;Mempelajari sains dan analisis data.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Sistem Terinspirasi Mahluk Hidup;-;Mempelajari algoritma terinspirasi makhluk hidup (bio-inspired computing).;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Kecerdasan Komputasional;-;Mempelajari kecerdasan komputasional.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Agen Cerdas Enterprise;-;Mempelajari agen cerdas untuk enterprise.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Computer Vision Lanjut;-;Mempelajari visi komputer lanjut.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Sistem Pakar Lanjut;-;Mempelajari sistem pakar lanjut.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Penalaran Komputer;-;Mempelajari penalaran komputer.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Sistem Pendukung Keputusan Cerdas;-;Mempelajari sistem pendukung keputusan cerdas.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Kapita Selekta;-;Kapita selekta (topik pilihan).;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Pemrosesan Bahasa Alami Lanjut;-;Mempelajari pemrosesan bahasa alami lanjut.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Bioinformatika Cerdas;-;Mempelajari bioinformatika berbasis kecerdasan buatan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Inovasi dan Enterpreneur Kecerdasan Artifisial;-;Mempelajari inovasi dan kewirausahaan kecerdasan buatan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Kecerdasan Artifisial pada Bisnis;-;Mempelajari kecerdasan buatan pada bisnis.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Pembelajaran Mesin Mendalam Lanjut;-;Mempelajari deep learning lanjut.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Magang;-;Kegiatan praktik kerja di industri/instansi untuk menerapkan kompetensi program studi dan menyusun laporan praktik.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FMIPA;Magister Kecerdasan Artifisial;Kecerdasan Artifisial dalam Kedokteran;-;Mempelajari kecerdasan buatan dalam kedokteran.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Metodologi Riset Kecerdasan Artifisial;-;Mempelajari metodologi riset kecerdasan buatan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Prinsip Kecerdasan Artifisial;-;Mempelajari prinsip kecerdasan buatan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Pembelajaran Mesin dan Aplikasinya;-;Mempelajari pembelajaran mesin dan aplikasinya.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Sains Data dan Analisis Prediktif;-;Mempelajari sains data dan analisis prediktif.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Kecerdasan Artifisial;Kecerdasan Artifisial pada Pemasaran;-;Mempelajari kecerdasan buatan pada pemasaran.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Analisis I;-;Mempelajari analisis matematika.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Topologi;-;Mempelajari topologi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Analisis II;-;Mempelajari analisis matematika.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Analisis Fungsional;-;Mempelajari analisis fungsional.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Fungsi Kompleks;-;Mempelajari teori fungsi kompleks.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Ruang Euclide;-;Mempelajari ruang Euclide.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Fungsi Real;-;Mempelajari fungsi real.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Titik Tetap;-;Mempelajari teori titik tetap.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Integral;-;Mempelajari teori integral.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Persamaan Diferensial;-;Mempelajari teori persamaan diferensial.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Ruang Barisan;-;Mempelajari ruang barisan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Operator;-;Mempelajari teori operator.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Himpunan Deskriptif;-;Mempelajari teori himpunan deskriptif.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Ruang Fungsi;-;Mempelajari ruang fungsi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Geometri Diferensial;-;Mempelajari geometri diferensial.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Ruang Riesz;-;Mempelajari ruang Riesz.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Kapita Selekta Analisis;-;Kapita selekta analisis.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Aljabar Linear;-;Mempelajari aljabar linear.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Struktur Aljabar;-;Mempelajari struktur aljabar.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Graf dan;-;Mempelajari teori graf.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Analisis Matriks;-;Mempelajari analisis matriks.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Modul;-;Mempelajari teori modul.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Ring Lanjut;-;Mempelajari teori ring lanjut.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Matriks Atas Ring;-;Mempelajari matriks atas ring.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Matriks Invers Tergeneralisasi;-;Mempelajari invers matriks tergeneralisasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Lapangan Hingga;-;Kegiatan pembelajaran di lapangan/industri/instansi: penerapan kompetensi program studi pada kondisi nyata, pengumpulan data, dan penyusunan laporan kegiatan.;Kurasi manual;Tidak terkait (nama mirip keyword);;
S2;FMIPA;Magister Matematika;Logika Fuzzy;-;Mempelajari logika fuzzy dan sistem inferensi fuzzy.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Semigrup dan Semiring;-;Mempelajari semigrup dan semiring.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Sistem Linear atas Ring;-;Mempelajari sistem linear atas ring.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Kategori dan Fungtor;-;Mempelajari teori kategori dan fungtor.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Pengkodean;-;Mempelajari teori pengkodean.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Kriptografi;-;Mempelajari kriptografi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Graf Aljabar;-;Mempelajari teori graf aljabar.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Bilangan Aljabar;-;Mempelajari teori bilangan aljabar.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Kapita Selekta Aljabar A (Topik: Teori Graf);-;Kapita selekta aljabar.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Kapita Selekta Aljabar B (Topik: Geometri Aljabar);-;Kapita selekta aljabar.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Kapita Selekta Aljabar C (Topik: Aljabar Max Plus);-;Kapita selekta aljabar.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Pemodelan Matematika dan Komputasi;-;Mempelajari pemodelan matematika dan komputasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Optimisasi;-;Mempelajari teori optimisasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Persamaan;-;Mempelajari persamaan diferensial.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Analisis Komputasi;-;Mempelajari analisis komputasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Masalah Syarat Batas;-;Mempelajari masalah syarat batas.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Kendali;-;Mempelajari teori kendali.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Riset Operasi Lanjut;-;Mempelajari riset operasi lanjut.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Metode Numerik Terapan;-;Mempelajari metode numerik terapan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Sistem Kendali Diskrit;-;Mempelajari sistem kendali diskrit.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Bio Matematika;-;Mempelajari biomatematika: pemodelan matematika sistem biologi dan epidemi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Persamaan Diferensial Non Linear;-;Mempelajari persamaan diferensial nonlinear.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Optimisasi dengan Metode Ruang Vektor;-;Mempelajari optimisasi dengan metode ruang vektor.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Bifurkasi;-;Mempelajari teori bifurkasi sistem dinamik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Sistem Matematika;-;Mempelajari teori sistem matematika.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Program Linear Multi Objektif Fuzzy;-;Mempelajari program linear multiobjektif fuzzy.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Kendali Sistem Bilinier;-;Mempelajari kendali sistem bilinier.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Reduksi Model Sistem Bilinier;-;Mempelajari reduksi model sistem bilinier.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Optimalisasi Pengalokasian Sumberdaya;-;Mempelajari optimalisasi alokasi sumber daya.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Kapita Selekta Matematika Terapan;-;Kapita selekta matematika terapan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Permainan;-;Mempelajari teori permainan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Sistem Persamaan Diferensial Hiperbolik;-;Mempelajari sistem persamaan diferensial hiperbolik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Optimalisasi Sistem Logistik;-;Mempelajari optimalisasi sistem logistik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Fraktal dan Aplikasinya;-;Mempelajari fraktal dan aplikasinya.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Matematika;Teori Sistem Bisimulasi;-;Mempelajari teori sistem bisimulasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Metodologi Riset;-;Mempelajari metodologi riset.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Tesis;-;Penyusunan, pelaksanaan, dan pertanggungjawaban penelitian mandiri tingkat magister di bawah bimbingan dosen, diakhiri penulisan dan ujian tesis. Keterkaitan dengan kriteria Kepmen bergantung pada topik tesis tiap mahasiswa.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FMIPA;Magister Fisika;Matematika Fisika;-;Mempelajari konsep matematika (fungsi, limit, turunan, integral, aljabar) dan penerapannya dalam pemecahan masalah bidang ilmu.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S2;FMIPA;Magister Fisika;Mekanika Kuantum;-;Mempelajari mekanika kuantum.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Mekanika Statistik;-;Mempelajari mekanika statistik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Mekanika Klasik;-;Mempelajari mekanika klasik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Elektrodinamika;-;Mempelajari elektrodinamika.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Instrumentasi Fisika;-;Mempelajari instrumentasi fisika.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Sistem Akuisisi Data;-;Mempelajari sistem akuisisi data.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Fisika Material Mampat Lunak;-;Mempelajari fisika material lunak.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Fisika Kristal;-;Mempelajari fisika kristal.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Nanofisika;-;Mempelajari nanofisika.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Fisika Zat Mampat;-;Mempelajari fisika zat mampat.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Komputasi Desain Material;-;Mempelajari komputasi desain material.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Spintronika;-;Mempelajari spintronika.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Elektromagnetika Terapan;-;Mempelajari elektromagnetika terapan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Fisika Material Elektronika;-;Mempelajari fisika material elektronika.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Kemagnetan Zat Mampat;-;Mempelajari kemagnetan zat mampat.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Optika Zat Mampat;-;Mempelajari optika zat mampat.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Metode Karakterisasi Material;-;Mempelajari metode karakterisasi material.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Fisika Biomaterial;-;Mempelajari fisika biomaterial.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Proses Stokastik untuk Fisikawan;-;Mempelajari proses stokastik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Teori Grup untuk Fisikawan;-;Mempelajari teori grup untuk fisika.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Topologi dan Geometri untuk Fisikawan;-;Mempelajari topologi dan geometri untuk fisika.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Fisika Komputasi;-;Mempelajari fisika komputasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Topik Khusus dalam Fisika Komputasi;-;Topik khusus fisika komputasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Teori Relativitas Umum;-;Mempelajari relativitas umum.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Teori Medan Kuantum;-;Mempelajari teori medan kuantum.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Fisika Nuklir;-;Mempelajari fisika inti, reaksi nuklir, instrumentasi deteksi radiasi, fisika dan komputasi reaktor, serta keselamatan dan keamanan fasilitas nuklir.;Kurasi manual;Tidak terkait (nama mirip keyword);;
S2;FMIPA;Magister Fisika;Astrofisika;-;Mempelajari astrofisika.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Topik Khusus dalam Fisika Teoretik dan Matematik;-;Topik khusus fisika teoretik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Logika dan Komputasi Simbolik dalam Fisika;-;Mempelajari komputasi simbolik dalam fisika.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Analisis Fungsional untuk Fisikawan;-;Mempelajari analisis fungsional untuk fisika.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Komputasi Mekanika Benda Langit;-;Mempelajari komputasi mekanika benda langit.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Mekanika Kuantum Lanjut;-;Mempelajari mekanika kuantum lanjut.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Fractal dan Chaos dalam Fisika;-;Mempelajari fraktal dan chaos.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Fisika Partikel;-;Mempelajari fisika partikel.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Mekanika Fluida;-;Mempelajari mekanika fluida.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Komputasi Struktur Elektronik Zat Mampat;-;Mempelajari komputasi struktur elektronik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S2;FMIPA;Magister Fisika;Kosmologi;-;Mempelajari kosmologi filsafat.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
